transientid,ML_PROB
2673646,0.9999788
155823,1.0
553776,0.9997577
2298829,0.9999999
183529,1.0
1813466,0.9999027
725,1.0
1094059,1.0
38756,1.0
150024,0.9996654
2467692,0.9999635
2672592,1.0
419758,0.999969
1121697,1.0
420118,0.9999647
406740,0.9999989
2997737,1.0
202250,1.0
913484,0.99987984
1605562,0.9999348
644317,0.99991524
2672332,0.978721
913568,0.99990356
244040,1.0
155569,1.0
1817493,1.0
262656,0.99999404
2573713,1.0
569796,1.0
155869,1.0
670333,1.0
1040764,0.99996483
2547235,0.99999595
580170,1.0
140402,1.0
2420046,1.0
140877,1.0
26174,1.0
573554,0.9998361
913385,1.0
553032,1.0
1688221,0.9999981
421920,0.99964356
637347,0.99947184
497620,0.9999633
216083,1.0
2355694,0.9999994
1204890,0.99997306
690848,0.99997926
408241,0.9999312
40634,1.0
2515148,1.0
131030,1.0
2629781,0.73997647
1059502,0.9999994
248263,1.0
1249318,0.9999882
679735,1.0
2328262,0.9999491
2287799,1.0
448074,1.0
1352719,0.9996425
1627963,0.99999905
297102,0.99980277
2767336,0.9976295
1041494,0.99995506
2897922,1.0
2669067,1.0
183263,1.0
911045,1.0
412975,0.999941
2656479,0.99999547
159798,1.0
2514470,1.0
211564,1.0
2283091,0.99998224
2062324,1.0
418748,0.9999981
20855,0.99807227
517072,1.0
791961,1.0
1248793,0.9999789
173966,1.0
49101,1.0
649432,0.99990225
1931129,0.99997103
672617,1.0
2286021,0.9999999
1627836,0.9387776
2958348,0.9999814
185014,0.99999785
1900464,0.9996125
220388,1.0
399700,0.9995759
516037,1.0
2708695,0.99998295
174024,1.0
1036998,0.99982053
2062396,1.0
2456003,1.0
395713,0.99997795
174328,1.0
563493,0.9999589
217865,0.9997837
2345469,1.0
2560121,0.99999523
2673704,0.99999976
1817120,0.99999976
635005,1.0
820924,0.63357306
183676,1.0
2629802,0.83197653
405767,0.99999106
417178,0.99999666
2330088,0.9999585
216262,1.0
688014,1.0
623222,0.99997914
37214,1.0
928489,1.0
2633351,0.99992573
641096,1.0
688795,0.9999802
1385571,0.9999994
401044,0.9990822
2287842,0.99999964
2627446,0.99977106
518341,1.0
504199,0.99999166
562790,1.0
150028,0.9963187
606556,1.0
2942966,1.0
802330,0.99999964
383084,1.0
902638,1.0
2656135,1.0
296141,0.99999833
2952673,1.0
855045,1.0
562122,1.0
536056,0.9999844
2348658,0.99955934
2286146,1.0
215839,1.0
533870,0.99999774
2455951,1.0
1931207,0.99999964
406880,0.99999845
509026,0.9901342
204463,1.0
132564,1.0
1950357,0.9999999
904240,1.0
350714,0.99912256
2341192,1.0
597817,1.0
2679596,0.99997306
911290,0.99984074
1119699,0.99987924
320843,1.0
243448,0.99999976
2665000,0.9968816
262534,0.999944
255128,0.99992967
2780254,1.0
37809,0.99999774
182372,1.0
471011,0.978678
2905503,1.0
420630,0.9998746
37307,0.999608
228882,0.99999464
608567,1.0
410600,0.9999993
563794,0.9999907
2349069,0.9999666
123697,0.9999999
223036,0.99943167
1331912,0.99999964
613539,1.0
1964441,1.0
2666616,0.9998357
2255324,0.99998367
48995,1.0
419468,0.99999595
592642,0.9981476
19671,1.0
151715,1.0
211916,1.0
157842,1.0
418001,0.9999515
7787,1.0
193283,1.0
2100276,0.9999994
2681050,0.9999999
