transientid,ML_PROB_REAL
844750,1.0
2673646,2.1164571e-05
155823,5.3676538e-27
553776,0.0002422633
2298829,6.071998e-08
2097436,1.0
1625671,1.0
183529,1.8254698e-22
873221,1.0
1329976,1.0
1813466,9.728706e-05
2668712,1.0
2084698,1.0
504859,0.9999987
2057606,1.0
2667801,1.0
423113,1.0
1872028,1.0
725,5.692808e-09
771882,1.0
1094059,3.0414277e-16
1629618,1.0
537777,1.0
1627689,1.0
38756,3.2888411e-10
150024,0.00033465933
617715,0.9999778
925577,1.0
2467692,3.649893e-05
2672592,1.7012043e-10
2096188,1.0
1627788,0.7644212
419758,3.1026968e-05
1121697,1.1261263e-08
1636331,1.0
380966,0.9999796
2667236,1.0
420118,3.5227753e-05
406740,1.0247201e-06
2997737,3.1645144e-09
267710,1.0
202250,1.683579e-26
913484,0.00012011516
1605562,6.525304e-05
1961848,1.0
2678369,1.0
2648149,1.0
644317,8.4706524e-05
2894891,1.0
2672332,0.021279039
1350778,0.9999999
1882815,1.0
1249209,0.9997887
913568,9.647419e-05
244040,2.982106e-20
155569,1.8913284e-15
512870,1.0
1871499,1.0
2310235,1.0
580057,1.0
1197518,1.0
1089633,1.0
1817493,6.408451e-20
262656,5.904937e-06
375605,1.0
2573713,1.3695345e-25
569796,2.1358428e-08
155869,6.4062855e-17
2542912,1.0
670333,1.6634207e-24
1040764,3.516358e-05
653214,1.0
2547235,4.0737673e-06
580170,3.6964466e-32
140402,1.6088948e-23
1874532,1.0
2442896,1.0
2420046,2.353354e-17
140877,2.1362418e-23
26174,9.1835285e-29
573554,0.0001638428
913385,1.615486e-10
553032,1.1436587e-28
2941495,0.2703352
1688221,1.9577049e-06
421920,0.0003564578
637347,0.0005282065
2629969,1.0
497620,3.6764213e-05
904148,1.0
350154,1.0
2063069,1.0
1811186,0.99999726
216083,3.63387e-23
903830,1.0
2355694,5.3700603e-07
594860,1.0
635056,1.0
1204890,2.6952976e-05
2668889,1.0
403104,0.99999905
690848,2.0707375e-05
2663674,1.0
408241,6.873271e-05
40634,2.0468317e-08
2515148,1.4036033e-30
131030,4.462338e-10
1953417,1.0
2629781,0.26002353
208886,1.0
1059502,5.4246107e-07
560092,1.0
248263,3.4340683e-11
2262634,1.0
2130046,1.0
1249318,1.181024e-05
212033,1.0
2908902,1.0
2206972,1.0
239861,1.0
2540254,1.0
1808237,1.0
2070248,1.0
1191371,0.99997807
207793,0.9995491
565483,1.0
34762,0.98570377
679735,1.1278771e-25
2328262,5.0850867e-05
576696,1.0
1874613,1.0
2287799,9.144414e-21
1923354,1.0
406044,1.0
2444773,1.0
448074,1.0361694e-14
536278,0.9999864
1352719,0.0003574547
1627963,9.524318e-07
297102,0.00019719798
2767336,0.002370484
1041494,4.4911754e-05
1251583,1.0
2897922,2.3295026e-20
351938,1.0
511624,0.99970335
1362635,1.0
580261,1.0
2669067,7.205957e-09
977744,1.0
1625613,1.0
183263,9.665915e-27
2553381,0.9788184
2014842,1.0
911045,2.6097604e-16
412975,5.8969796e-05
2656479,4.5829574e-06
1311317,0.99992526
413111,1.0
159798,3.7553938e-14
392857,1.0
2514470,1.3699568e-34
6852,0.99999785
1253451,1.0
798882,1.0
1948837,0.9999957
211564,5.7659264e-20
1350364,1.0
2203965,1.0
2955764,1.0
2123200,1.0
1467390,1.0
2283091,1.7815873e-05
244108,1.0
2062324,1.7087066e-10
781605,1.0
1351103,1.0
418748,1.9077643e-06
1615931,1.0
20855,0.0019277069
1328896,1.0
517072,2.5388318e-14
774122,1.0
2108823,1.0
791961,3.1021086e-26
1876037,0.9999945
1248793,2.1142765e-05
173966,2.2865008e-11
1639368,1.0
2638147,1.0
2190049,1.0
781267,1.0
49101,3.6233602e-10
2123216,1.0
649432,9.770711e-05
1931129,2.9001736e-05
1994750,1.0
2657204,1.0
672617,6.2416063e-23
2286021,7.1672645e-08
1627836,0.061222423
2958348,1.853781e-05
211679,0.9999999
799596,1.0
928309,0.9999548
185014,2.164125e-06
2442952,1.0
1900464,0.00038746928
198646,1.0
1991129,1.0
220388,2.0479431e-28
3001476,1.0
2427693,0.98960423
618422,1.0
585296,1.0
399700,0.00042408603
516037,4.5449337e-34
2708695,1.7038652e-05
2943052,1.0
1628678,1.0
926843,0.9997925
174024,2.7007389e-17
1036998,0.0001795064
2434806,1.0
2062396,9.1927654e-10
2456003,2.5239947e-14
216458,0.9999995
