transientid,volunteer_1,volunteer_2,volunteer_3,volunteer_4,volunteer_5,volunteer_6,volunteer_7,volunteer_8,volunteer_9,volunteer_10,label
510,0,0,0,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0,1,0
707,0,0,0,0,0,0,0,0,0,0,0
725,0,0,0,0,0,0,0,0,0,0,0
5233,1,1,1,1,1,1,1,1,1,1,1
5236,0,0,0,0,0,0,0,0,0,0,0
5402,1,1,1,1,1,1,1,1,1,1,1
5408,1,1,1,1,1,0,0,1,0,1,1
5490,0,1,1,0,1,1,1,1,0,1,1
5574,1,1,1,1,1,1,1,1,1,1,1
5647,1,1,1,0,1,1,1,1,1,1,1
5704,1,1,1,1,1,1,1,1,0,1,1
5727,1,1,1,1,1,1,1,1,1,1,1
5855,1,1,1,1,1,1,1,1,1,1,1
5874,0,0,0,0,0,0,0,0,0,0,0
5923,1,1,1,1,1,1,1,1,0,1,1
5924,1,1,1,1,1,1,1,1,1,1,1
6008,1,1,1,1,0,1,1,1,1,1,1
6046,1,1,1,1,1,1,1,1,1,1,1
6071,1,1,1,1,1,1,1,1,1,1,1
6185,1,1,1,1,1,1,1,1,1,1,1
6191,0,0,0,0,0,0,0,0,0,0,0
6204,1,1,1,1,1,1,1,1,1,1,1
6218,0,0,0,0,0,0,0,0,0,0,0
6219,1,1,1,1,1,1,1,1,1,1,1
6359,1,1,1,1,1,1,1,1,1,1,1
6530,1,1,1,1,1,1,1,1,1,1,1
6587,0,0,0,0,0,0,0,0,0,0,0
6611,0,0,0,0,0,0,0,0,0,0,0
6681,1,1,1,1,1,1,1,1,1,1,1
6746,1,1,1,1,1,1,1,1,1,1,1
6852,1,1,1,1,1,1,1,1,0,1,1
6873,1,1,1,1,1,1,1,1,1,1,1
6930,1,1,0,1,1,1,1,1,0,1,1
7000,1,1,1,1,1,1,1,1,1,1,1
7028,1,1,1,1,1,1,1,1,1,1,1
7029,0,0,0,0,0,0,0,0,0,0,0
7045,1,1,1,1,1,1,1,1,1,1,1
7089,1,1,1,1,1,1,1,0,1,1,1
7132,1,0,1,0,1,1,1,1,0,1,1
7169,0,0,0,0,0,0,0,0,0,0,0
7296,1,1,1,1,0,1,1,1,1,0,1
7338,0,0,0,0,0,0,0,0,0,0,0
7365,0,0,0,0,0,0,0,0,0,0,0
7420,0,0,0,0,0,0,0,0,0,0,0
7461,1,1,1,1,1,1,1,1,1,1,1
7490,1,1,1,1,1,1,1,1,1,1,1
7528,1,1,1,1,1,1,1,1,1,1,1
7725,0,0,0,0,0,0,0,0,0,0,0
7741,1,1,1,1,1,1,1,1,1,1,1
7747,1,1,1,1,1,1,1,1,1,1,1
7749,1,1,1,1,1,1,1,1,1,1,1
7778,0,0,0,0,0,0,0,0,0,0,0
7787,0,0,0,0,0,0,0,0,0,0,0
7826,1,1,1,1,0,1,1,1,1,1,1
7850,0,0,0,0,0,0,0,0,0,0,0
7891,1,1,1,1,1,1,1,1,1,0,1
7911,1,1,1,1,1,1,1,1,1,1,1
7931,0,0,0,0,0,0,0,0,0,0,0
7948,1,1,1,0,1,1,1,0,1,1,1
7955,0,0,0,0,0,0,0,0,0,0,0
7995,1,1,1,0,0,1,1,1,1,1,1
8001,1,1,1,1,1,1,1,1,1,1,1
8173,1,1,1,1,1,1,1,1,1,1,1
8265,1,1,1,1,1,1,1,1,1,1,1
8307,0,0,0,0,0,0,0,0,0,0,0
8385,1,1,1,1,1,1,1,1,1,1,1
8480,0,0,0,0,0,0,0,0,0,0,0
8578,1,1,1,1,1,1,1,1,1,0,1
8586,1,1,1,1,1,1,1,1,1,1,1
8605,1,1,1,1,1,1,1,1,0,1,1
8887,1,1,1,1,1,1,1,1,0,1,1
8928,1,1,1,1,1,1,1,1,1,1,1
8942,1,1,1,1,1,1,1,1,0,1,1
8982,1,1,1,1,1,1,1,1,0,1,1
8984,1,1,1,1,1,1,1,0,1,0,1
9299,1,1,1,1,1,1,1,1,1,1,1
9329,1,1,1,1,1,1,1,1,0,1,1
9431,1,1,1,1,0,1,1,1,0,1,1
9454,1,1,1,1,1,1,1,1,1,1,1
10784,0,0,0,0,0,0,0,0,0,0,0
10867,0,0,0,0,0,0,0,0,0,0,0
10961,0,0,0,0,0,0,0,0,0,0,0
10972,0,0,0,0,0,0,0,0,0,0,0
16553,0,0,0,0,0,0,0,0,0,0,0
16583,0,0,0,0,0,0,0,0,0,0,0
16743,1,1,1,1,1,1,1,1,1,1,1
16882,0,0,0,0,0,1,0,0,0,0,0
16883,0,0,0,0,0,1,0,1,0,0,0
18373,0,0,0,0,0,0,0,0,0,0,0
18387,0,0,0,0,0,0,0,0,0,0,0
18423,0,0,0,0,0,0,0,0,0,0,0
18758,0,0,0,0,0,0,0,0,0,0,0
18894,0,0,0,0,0,0,0,0,0,0,0
18980,0,0,0,0,0,0,0,0,0,0,0
19062,1,1,1,1,1,1,1,1,1,0,1
19671,0,0,0,0,0,0,0,0,0,0,0
19680,0,0,0,0,0,0,0,1,0,0,0
20260,1,1,0,0,1,1,0,0,0,0,0
20313,0,0,0,0,0,0,0,0,0,0,0
20708,0,0,0,0,0,0,0,0,0,0,0
20749,0,0,0,0,0,0,0,0,0,0,0
20765,0,0,0,0,0,0,0,0,0,0,0
20854,1,0,0,0,1,1,0,0,0,0,0
20855,0,0,0,0,0,0,0,1,0,0,0
20934,1,1,1,1,1,1,1,1,1,1,1
20955,0,0,0,0,0,0,0,0,0,0,0
25086,0,0,0,0,0,0,0,0,0,0,0
25109,0,0,0,0,0,0,0,0,0,0,0
25134,1,1,1,1,1,1,1,1,1,1,1
26146,1,0,0,0,1,1,1,0,0,0,0
26149,0,0,0,0,0,0,0,0,0,0,0
26174,0,0,0,0,0,0,0,0,0,0,0
26189,0,0,0,0,0,0,0,0,0,0,0
26251,0,0,0,0,0,0,0,0,0,0,0
26267,1,1,1,1,1,1,1,1,1,1,1
27154,0,0,0,0,0,0,0,0,0,0,0
27259,1,1,1,1,1,1,1,1,1,1,1
27310,1,1,1,1,1,1,1,1,0,0,1
30153,0,0,0,0,0,0,0,0,0,0,0
30203,0,0,0,1,0,0,0,0,0,0,0
